user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,text,date,hashtags,source,is_retweet
PEI POLITICAL DISCUSSION Resistance is NOT futile.,Prince Edward Island,PEI POLITICAL DISCUSSION Statements are personal opinions. Members of the electorate exercising our constitutionally granted freedom of expression. #peipoli,1/11/2020 16:27,1983,2359,13317,FALSE,FAQ on COVID-19 subvariant XBB.1.5: What is it? Where is it prevalent? How does it differ from Omicron? Does it cau… https://t.co/bFBj2tKiDk,1/17/2023 9:43,,Twitter Web App,FALSE
Dimsumdaily Hong Kong,Hong Kong,Leading international English news blog which reports breaking news in  Hong Kong and around the world.,9/8/2019 11:59,4232,44,6,FALSE,"COVID-19 cases in HK drop further to 3,843 today, 46 more patients pass away, 1 more local XBB.1.5 subvariant case… https://t.co/jOp0FMYYfH",1/17/2023 8:13,,Zapier.com,FALSE
Neil McGillivray,"West Coast, Sweden","- 'stay curious, always interested, watch & listen. Engage. Do. Repeat' | 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇸🇪 | 🇪🇺 | husband, father | BSc | BA (Hons) | Masters (MSc/MFA)",8/20/2010 13:08,301,1135,645,FALSE,Recently read this article; What is it? Where is it prevalent? How does it differ from Omicron? Does it cause serio… https://t.co/oBd7CZXMta,1/17/2023 7:55,,IFTTT,FALSE
MENAFN Business,,,8/15/2009 14:50,1894,19,16,FALSE,FAQ On COVID-19 Subvariant XBB.1.5: What Is It? Where Is It Prevalent? How Does It Differ From Omicron? Does It Cau… https://t.co/r1ahG7RO1j,1/17/2023 7:18,,dlvr.it,FALSE
Madeleine Dumais-Reynolds,,Are you smart enough to take Garlic for COVID,9/7/2022 15:14,736,526,706,FALSE,FAQ on COVID-19 subvariant XBB.1.5: What is it? Where is it prevalent? How does it differ from Omicron? Does it cau… https://t.co/bzzzlegsWX,1/17/2023 6:43,,Twitter Web App,FALSE
The Epoch Times Canada,Canada,"The Epoch Times Canadian Edition. 
Follow us on https://t.co/dB76MDKqEE | Watch: https://t.co/GTfJbvbzTC | Play: https://t.co/PTcOnAErxC",12/18/2009 14:05,9192,31,181,FALSE,"The #Omicron #XBB 1.5 variant of COVID-19 is more likely to #infect individuals who have #been #vaccinated, accordi… https://t.co/dQ4LY9uFFo",1/17/2023 2:48,"['Omicron', 'XBB', 'infect', 'been', 'vaccinated']",Buffer,FALSE
GaliLeo,Cerebral Cortex,"Some think I’ve gone mad; this one is for the GALILEOS… and for other LIONS too… but ultimately for my children, as a record of how I tried to fight for them.",4/23/2022 10:31,65,161,25,FALSE,NYC Department of Health and Mental Hygiene tweeted on Friday. ” XBB.1.5 is the most transmissible form of COVID-19… https://t.co/Dm5JyBSLCq,1/17/2023 2:15,,Twitter for iPhone,FALSE
Gwendolyn Levitt,,I am always afraid of your something shall be done.,1/21/2021 3:27,6926,7345,5,FALSE,The fast-spreading Omicron subvariant XBB.1.5 is estimated to account for 43% of the COVID-19 cases in the United S… https://t.co/2mQ0ecsIkj,1/17/2023 2:04,,Twitter Web App,FALSE
Peter Lawrence,"iPhone: 18.327295,-64.917862","Proprietor, Hoodview (LIVE-Certified) & Vanjohn Vineyards: Pinot Noir & Pinot Gris planted 1990-91. Also Champagne- & Franciacorta-lover, fine sherry
Amity, OR",8/2/2009 0:39,1271,4275,64622,FALSE,FAQ on COVID-19 subvariant XBB.1.5: What is it? Where is it prevalent? How does it differ from Omicron? Does it cau… https://t.co/378CWPzxpd,1/17/2023 2:01,,Twitter for iPhone,FALSE
Jael.,"Melbourne,Victoria. Sydney ATM","A post-patriarchal world for all.  Sociologically inclined, ecologically minded. Challenge  dominant cultural ideologies. Psychotherapist and Counsellor.",3/28/2020 5:08,57,301,11051,FALSE,"Mask up!!!
https://t.co/5wtK9gOFzR",1/17/2023 1:55,,Twitter for Android,FALSE
SANTINO,,NEWS▫️HAIRSTYLIST MAKEUP ARTIST FOR FILM / TV /THEATRE▫️RECORDING ARTIST SINGLES RELEASED ▫️“POOL PARTY”▫️“BURN OUT THE SUN”,7/20/2017 1:30,1649,99,63809,FALSE,The omicron XBB.1.5 of Covid-19 is more likely to infect individuals who are vaccinated according to👇… https://t.co/OxwUCDf9HS,1/17/2023 1:08,,Twitter for iPhone,FALSE
Anna Tema,Oslo,Konservativ. I evig opposisjon til media & myndigheter. Som regel på parti med underdogen. Hovedfokus: Amerikansk politikk og mediekritikk. Mye høyttenking.,11/10/2012 14:55,1247,382,48890,FALSE,"""New York City health officials are warning residents that the infectious omicron subvariant XBB.1.5 may be more li… https://t.co/rimQfGmsPP",1/17/2023 1:03,,Twitter Web App,FALSE
MENAFN Business,,,8/15/2009 14:50,1894,19,16,FALSE,FAQ On COVID-19 Subvariant XBB.1.5: What Is It? Where Is It Prevalent? How Does It Differ From Omicron? Does It Cau… https://t.co/UBs6iW18Tm,1/17/2023 0:37,,dlvr.it,FALSE
UBC Media Relations,"Vancouver, B.C., Canada","Official Twitter channel of @UBC Media Relations. Follow us for research news, announcements, expert advisories and story ideas.",8/10/2009 22:49,24964,2737,2245,TRUE,"COVID-19 subvariant XBB.1.5 could become the dominant variant in Canada soon, says @UBCmedicine Dr. Brian Conway (… https://t.co/S2byD3bJJZ",1/17/2023 0:30,,Sprout Social,FALSE
The Conversation Canada,Canada,"Written by academic experts, edited by journalists, backed by evidence
✉️ Newsletter: https://t.co/JiiMeZ0w9S 
🎧 Podcast: https://t.co/ZXPmzbqAkH
➕ Donate: https://t.co/b7Fzu6HTIc",9/19/2015 22:32,21274,8768,6775,FALSE,FAQ on COVID-19 subvariant XBB.1.5: What is it? Where is it prevalent? How does it differ from Omicron? Does it cau… https://t.co/qO0ETq0D77,1/17/2023 0:06,,dlvr.it,FALSE
Anna Vosper 🇨🇦,Quadra Island ,"Real estate development consultant. Loves Randy, dogs, wine, bacon, the sea.",9/17/2022 0:23,104,290,5719,FALSE,@KellyBurns8012 @KevinPRichar @Slipkid6975 @Anthr0p0m0rph @von67trumpet “Omicron subvariant XBB.1.5 accounts for 73… https://t.co/JAwCN1hNZz,1/16/2023 23:46,,Twitter Web App,FALSE
Takeiteasy22,,"Sailing my life away.  Proud American, lover of life in America.  Strong Republican for the good ones.",10/27/2022 11:26,288,503,7443,FALSE,"@SpartaJustice Omicron Subvariant XBB.1.5 Could Be More Likely to Infect Vaccinated: NYC Health Officials
The Omicr… https://t.co/73ycjBUQ16",1/16/2023 23:39,,Twitter Web App,FALSE
Trying To Always Find The Truth 🙄 Vietnam Vet,"North Carolina, US","WOMAN & former US Navy Corpsman & VIETNAM VET. I always follow back #MAGA.  #AMERICAFIRST, Jesus Christ will get us there. 

I love ""MY"" POTUS.  A man of GOD.",11/17/2013 3:09,5601,5928,12957,FALSE,New York City health officials are warning residents that the infectious omicron subvariant XBB.1.5 may be more lik… https://t.co/UQoib8c2KM,1/16/2023 23:24,,Twitter Web App,FALSE
angelafaulkner,"Los Angeles, CA","Political trainer at Leadership Institute; back in college for an archaeology degree, lover of Chris, mom of 3 men, follower of Christ",11/5/2007 3:37,1812,2171,23330,FALSE,Huh. “Omicron subvariant XBB.1.5 now accounts for 73% of all sequenced COVID-19 cases in NYC. XBB.1.5 is the most t… https://t.co/6ZH2vgha7Y,1/16/2023 23:09,,Twitter for iPhone,FALSE
Maritime Noon,"NB, NS & PEI","We're all about the Maritimes. If you're talking about it, we are too! Daily phone in 12 - 1 on CBC Radio.",6/2/2009 13:24,27586,2357,2651,TRUE,"TUES: Infectious diseases expert Dr. Lisa Barrett takes your questions about the latest COVID strain, the Omicron s… https://t.co/jI9C5fK7m0",1/16/2023 23:00,,TweetDeck,FALSE
PHL,"Lincoln, NE",We are Partnership for a Healthy Lincoln. Our mission is to improve and protect the health and well-being of our community.,1/3/2013 18:55,517,240,1270,FALSE,The fast-spreading Omicron subvariant XBB.1.5 is estimated to account for 43% of the COVID-19 cases in the United S… https://t.co/odXU17Y9t6,1/16/2023 22:52,,Twitter Web App,FALSE
George Elliot,NIMPORT OU,My inimitable charm,3/6/2021 18:59,47,497,485,FALSE,"Media Rolling with New ""Kraken"" Omicron Covid 19 Subvariant XBB.1.5 to D... https://t.co/EaHQyrQ9jz via @YouTube",1/16/2023 21:55,,Twitter for iPad,FALSE
Memorial Health System,"Gulfport, MS",Memorial is a multi-specialty medical complex on the MS Gulf Coast. The information presented here is not intended to replace a healthcare professional.,6/11/2009 14:47,3002,141,75,FALSE,"As COVID-19 mutates, new variants are created that can take a toll on the health of our community. Here's what you… https://t.co/J2UejsUDH6",1/16/2023 21:39,,Sprout Social,FALSE
Oleg Fabyanchuk,"Portland, OR","Discouragement is rampant, people need to hear the Gospel and the DAILY HOPE more than ever!",11/1/2022 17:26,1326,3206,1,FALSE,The XBB.1.5 variant is quickly becoming the dominant subvariant in the United States. Data from the Centers for Dis… https://t.co/xEzxTf8o3H,1/16/2023 21:38,,Twitter for iPad,FALSE
Oleg Fabyanchuk,"Portland, OR","Discouragement is rampant, people need to hear the Gospel and the DAILY HOPE more than ever!",11/1/2022 17:26,1326,3206,1,FALSE,“Omicron subvariant XBB.1.5 now accounts for 73 percent of all sequenced COVID-19 cases in NYC. XBB.1.5 is the most… https://t.co/0xXYSmOJbQ,1/16/2023 21:38,,Twitter for iPad,FALSE
Mike McQuade,,mostly news with a little snark,12/10/2022 14:14,58,484,638,FALSE,"https://t.co/yJk6hwc3yb
 (Omicron Subvariant XBB.1.5 Could Be More Likely to Infect Vaccinated: NYC Health Official… https://t.co/JiD7ZcfMQr",1/16/2023 21:26,,Twitter Web App,FALSE
Ohio SILC,"Gahanna, OH",Ohio Statewide Independent Living Council (OSILC) promotes the full access and independence of people with disabilities in the communities of their choosing.,9/11/2015 14:07,330,488,51,FALSE,"What to know about the XBB.1.5 COVID-19 subvariant 
https://t.co/feaDBlFbwU",1/16/2023 21:24,,Buffer,FALSE
Blue_Goose,,Lesbian unjustly trapped in a man's body. Pronouns: Xi/Xer/Your Majesty.  If my comments are bizarre; check for the troll in the code.,10/28/2022 19:48,469,908,2927,FALSE,"""The Omicron XBB.1.5 variant of COVID-19 is more likely to infect individuals who have been vaccinated, according t… https://t.co/L2oVUNIqKj",1/16/2023 21:10,,Twitter Web App,FALSE
The Epoch Times,"New York, USA","Independent, award-winning reporting based on Truth and Tradition. Newsletters: https://t.co/0F3JANwb8P | Watch: https://t.co/M1G2gEVJmq | Play: https://t.co/pDrVrN4Qcy",4/5/2009 23:54,565039,95,56037,TRUE,"“Omicron subvariant XBB.1.5 now accounts for 73% of all sequenced COVID-19 cases in NYC.”

The Omicron XBB.1.5 vari… https://t.co/BFsjU1ZiUm",1/16/2023 19:35,,Twitter Web App,FALSE
RDMassengale,"Bradenton, FL",PhD Microbiology/Immunology; Science Instructor helping students raise the bar for classroom learning & college prep.,9/1/2015 3:08,220,589,3399,FALSE,New Covid-19 variant is more likely to infect the vaccinated. #Covid19 #FollowtheData https://t.co/5GxInK0iEB,1/16/2023 18:12,"['Covid19', 'FollowtheData']",Twitter Web App,FALSE
JobRx.com,,"Are you an Active or Passive job seeker?

https://t.co/5nCJPn7m5F's focus is on hospital, health-system and MSL (Medical Science Liaison) jobs for pharmacy professionals.",7/20/2009 1:40,7005,918,361,FALSE,"Omicron subvariant XBB.1.5 accounts for 43% of U.S. COVID cases - CDC

Jan 13 (Reuters) - The fast-spreading Omicro… https://t.co/CmuWZZjPq8",1/16/2023 18:00,,Buffer,FALSE
debbz8 xQFDBANNEDx,United States,,4/23/2011 18:50,1633,2157,198189,FALSE,"Despite this,the department urged New Yorkers to get vaccinated and receive the updated COVID-19 booster shot,stati… https://t.co/OufK6Urpl9",1/16/2023 17:21,,Twitter for iPhone,FALSE
DOUG E FRESH,Earth,"VOL FOR LIFE 🍊
I lube my AR with Liberal Tears",7/5/2011 11:31,323,299,48475,FALSE,"“Omicron subvariant XBB.1.5 now accounts for 73% of all sequenced COVID-19 cases in NYC.”

The Omicron XBB.1.5 vari… https://t.co/2O8yhR7OIs",1/16/2023 17:20,,Twitter for Android,FALSE
TEN Healthcare,,"TEN Healthcare is a state-of-the-art, high complexity laboratory providing analysis of urine and saliva samples in support of prescription drug monitoring.",3/18/2021 16:22,28,308,154,FALSE,"New XBB.1.5 strains are up from 18% of cases the week before.

“It is the most transmissible subvariant that has be… https://t.co/ou2PM3RT8S",1/16/2023 17:01,,Hootsuite Inc.,FALSE
Epoch Health,"New York, USA","Live your best life and be your own health coach, armed with essential guidance and the latest health news.",9/30/2013 21:12,7339,4666,5224,FALSE,"The #Omicron #XBB15 variant of COVID-19 is more likely to infect individuals who have been vaccinated, according to… https://t.co/l2ftrT879P",1/16/2023 16:15,"['Omicron', 'XBB15']",Buffer,FALSE
🇺🇸ULTRA MAGA & PROUD🇺🇸Maskless in Fascist MN,Dark Blue Minneapolis ,"🇺🇸America-where We The People WANT OUR 1A FREEDOM BACK!🇺🇸Trump the Reformer fought the Ruling Class. He opened our eyes, & THEY’RE STAYING THAT WAY. #MAGA!",11/8/2012 5:06,56740,56722,124243,FALSE,“XBB.1.5 is one of the COVID-19 subvariants most resistant to antibodies acquired from vaccination or previous infe… https://t.co/3vidOdsjvt,1/16/2023 16:04,,Twitter for iPhone,FALSE
Right America Media,New Hampshire,Fed up with corporate fake news? Want real stories from real people? Right America brings you live-streamed content from ordinary citizens each and every day.,8/24/2020 9:54,244,33,660,FALSE,"Omicron Subvariant XBB.1.5 Could Be More Likely to Infect Vaccinated: NYC Health Officials

“Omicron subvariant XBB… https://t.co/9hMgEqxuCc",1/16/2023 15:34,,Twitter Web App,FALSE
InfectiousDiseaseSE,"New York, NY",Infectious Disease Special Edition (IDSE) offers news and reviews about all types of infections at https://t.co/y607OVrLtO.,4/7/2011 15:18,1301,1357,1504,FALSE,"Concerns of #Evusheld lacking protection against omicron XBB.1.5. 
https://t.co/6cO2RZcYph",1/16/2023 14:05,['Evusheld'],Hootsuite Inc.,FALSE
HealthyBuilds,"Jupiter, FL",Design for a healthier environment is a construction management company that understands infection control.  Healthier building is what we do.,12/22/2016 19:00,181,280,8,FALSE,"WHO weighs in on Omicron XBB.1.5 subvariant; US extends COVID health emergency

https://t.co/yJQzoSrixM",1/16/2023 13:53,,Twitter Web App,FALSE
Bryn,,"just me
My people have been upon this land forever!!! Generations and generations forever.

NO LISTS Please. 
NO DM's. 
I AM .",9/11/2021 15:09,2518,3007,277756,FALSE,CDC: Subvariant XBB.1.5 causing 43% of new COVID-19 cases in US | NHK WORLD-JAPAN News https://t.co/fW1Tvlu5Wu,1/16/2023 12:48,,Twitter Web App,FALSE
Gordon Young,,,6/5/2011 17:32,62,139,15191,FALSE,@catturd2 From New York. Omicron subvariant XBB.1.5 now accounts for 73% of all sequenced COVID-19 cases in NYC. XB… https://t.co/2kKqCP7vKR,1/16/2023 12:42,,Twitter for iPhone,FALSE
Mike Izzo,Melbourne fl,,11/24/2010 10:43,87,69,7,FALSE,"The Omicron XBB.1.5 variant of COVID-19 is more likely to infect individuals who have been vaccinated, according to… https://t.co/FDxfFU4wv7",1/16/2023 11:45,,Blog2Social APP,FALSE
COVID-19 Global Cases,,Coronavirus COVID-19 Global Cases - Live Updates,3/12/2020 21:30,97,191,0,FALSE,"New, more transmissible COVID-19 subvariant XBB.1.5 increasing https://t.co/zujX5dWwql https://t.co/he1WVxuu0g",1/16/2023 11:38,,COVID-19 Global Cases,FALSE
THE TRUTH PANTHER,AROUND SOUTH AFRICA. ,"Independent News and Trends Reporter | Brand Promoter | Animator / Graphic designer.

| 📧 : thetruthpanther@gmail.com | WhatsApp: 0743800269 📵",11/19/2014 18:16,22874,1332,6228,FALSE,Health officials in New York City are alerting locals that the infectious omicron subvariant XBB.1.5 may be more li… https://t.co/JXowJDAYz3,1/16/2023 10:27,,Twitter for Android,FALSE
Expat Life in Indonesia,"Jakarta Capital Region, Indone",Expat Living Guide for Indonesia,7/26/2020 16:09,104,363,0,FALSE,"The latest mutation of the Covid-19 virus, Subvariant XBB 1.5 Kraken, has spread in various countries. This subvari… https://t.co/9yQICJHGOP",1/16/2023 7:54,,TweetDeck,FALSE
mad_cat_sadie,,whatever.,6/21/2020 12:28,14,183,4169,FALSE,"@rosenbusch_ ""New York City health officials are warning residents that the infectious omicron subvariant XBB.1.5 m… https://t.co/Zb44NM2eOC",1/16/2023 7:49,,Twitter for Android,FALSE
Luis Gomez,"München, Bayern","Teilzeit-Superheld, an Ihrer Supermarktkasse",8/2/2017 11:44,123,425,866,FALSE,"@rosenbusch_ Lesen Sie den Artikel nochmal, ganz langsam: ""the infectious omicron subvariant XBB.1.5 may be more li… https://t.co/yOpeEhSjYw",1/16/2023 7:32,,Twitter Web App,FALSE
Yueting Zhang,In the river of time,God is real,3/27/2019 20:00,2450,5002,45029,FALSE,"===
NYC Department of Health and Mental Hygiene tweeted on Friday. ""XBB.1.5 is the most transmissible form of COVID… https://t.co/w4Xg0yVTSn",1/16/2023 6:10,,Twitter Web App,FALSE
Deseret News,"Salt Lake City, UT",Principled. Illuminating. News. Established 1850.,6/8/2008 21:32,121797,152,3066,TRUE,"Omicron subvariant XBB.1.5 became the dominant strain of COVID-19 quickly. | By @gitanjalipoonia

https://t.co/KkjWjk3bY8",1/16/2023 5:00,,TweetDeck,FALSE
jud 3459,,,10/3/2016 1:21,55,118,5059,FALSE,@Anthr0p0m0rph @topgyalnyc Meanwhile……. Omicron subvariant XBB.1.5 now accounts for 73% of all sequenced COVID-19 c… https://t.co/RMggVwRy4q,1/16/2023 4:33,,Twitter for iPhone,FALSE
Teresa Cardwell (Formerly OleLadySquawking),🌎,Just adding my two cents. I'm a RN & living proof that masks & vaccines worked thru my entire career. Warning: I'm sarcastic as Hell & NO DMs!,5/16/2017 19:10,40,69,1921,FALSE,"@catturd2 How sad, he left out a part of the report... ""or already had COVID-19.” There I fixed it... https://t.co/kUcGl6LUKB",1/15/2023 22:02,,Twitter Web App,FALSE
C COLLINS,,"Truth seeker, there is one Savior JESUS CHRIST maga Trump team",8/11/2017 2:03,1729,2272,4542,FALSE,New York City health officials are warning residents that the infectious omicron subvariant XBB.1.5 may be more lik… https://t.co/rvx4QfqFiU,1/15/2023 21:26,,Twitter Web App,FALSE
anache 🇺🇸 💙 🇺🇦🏳️‍🌈🏳️‍⚧️,Milky Way,"It was ""woke"" people who ended slavery, passed Civil Rights Act, Voting Rights Act, champion woman’s rights, LGBTQ rights. Why the GOP hates them. I am woke!",3/18/2010 19:24,9953,10913,11587,FALSE,"In one week, Covid deaths have increased 44% to 3,907 in week ending 11Jan. Wastewater analyses of virus, shows cur… https://t.co/HoztVgxDZ1",1/15/2023 20:56,,Twitter for iPhone,FALSE
"Freddy Pizart, BSN, RN","Miami, Florida","Make life a little bit more cheerful is my main goal. I love to laugh, make people happy, and share interesting articles about health.",6/21/2011 22:34,262,242,1,FALSE,WebMD: Americans 65 and older are dying at disproportionately higher rates from COVID-19. Add to this the yet-to-be… https://t.co/qo31mHgUEO,1/15/2023 20:53,,IFTTT,FALSE
Trish 🎄🌻,NY,"Love art, traveling, Christmas, Paris, photography, my dog, NY, and all things Josh! #Grobanite #GreatCometfanforlife ☄️ Military brat. #BLM #Ukraine 🌻",2/19/2011 23:43,1629,1643,219487,FALSE,"COVID-19: 'Kraken' Subvariant XBB.1.5 Gaining More Ground Nationally, CDC Warns. It’s coming for you people!  https://t.co/GhN5D9Je6r",1/15/2023 20:40,,Twitter for iPad,FALSE
WebMD,USA,WebMD and our medical team bring you the most trustworthy and timely health news and information.,3/23/2009 1:43,3120405,413,4827,TRUE,Americans 65 and older are dying at disproportionately higher rates from COVID-19. Add to this the yet-to-be-fully… https://t.co/1vndzKiYoB,1/15/2023 20:30,,Sprinklr Publishing,FALSE
George Elliot,NIMPORT OU,My inimitable charm,3/6/2021 18:59,47,497,485,FALSE,"Media Rolling with New ""Kraken"" Omicron Covid 19 Subvariant XBB.1.5 to D... https://t.co/EaHQyrQH97 via @YouTube",1/15/2023 17:54,,Twitter for iPad,FALSE
George Elliot,NIMPORT OU,My inimitable charm,3/6/2021 18:59,47,497,485,FALSE,"Media Rolling with New ""Kraken"" Omicron Covid 19 Subvariant XBB.1.5 to D... https://t.co/EaHQyrQ9jz via @YouTube",1/15/2023 17:53,,Twitter for iPad,FALSE
THE TRUTH PANTHER,AROUND SOUTH AFRICA. ,"Independent News and Trends Reporter | Brand Promoter | Animator / Graphic designer.

| 📧 : thetruthpanther@gmail.com | WhatsApp: 0743800269 📵",11/19/2014 18:16,22874,1332,6228,FALSE,The infectious omicron subvariant XBB.1.5 may be more likely to infect those who have recently received a vaccinati… https://t.co/9pVLlMyXAh,1/15/2023 17:44,,Twitter for Android,FALSE
S,Wild Blue Yonder,"#StandWithUkraine. COVID deniers spreading misinformation! followed by Dworkin, GLENN KIRSCHNER. vaccinated. COVID is Airborne! f Putin",1/26/2014 3:29,5683,6064,274407,FALSE,"Omicron subvariant XBB.1.5 now accounts for 73% of all sequenced COVID-19 cases in NYC,” the NYC Department of Heal… https://t.co/CXrvfXVglT",1/15/2023 17:43,,Twitter for iPad,FALSE
Cape Argus,"Cape Town, South Africa","Cape Town's oldest daily newspaper, bringing you the news since 1857. We publish in the morning and afternoon and online. Visit our Facebook page to comment.",11/8/2010 4:45,49699,820,394,FALSE,ICYMI |The National Health Department said it would not be imposing any travel restrictions or internal measures af… https://t.co/w5RWm7IWk2,1/15/2023 17:01,,Echobox,FALSE
⚡️⚓️NEÍLL⚓️⚡️,📍Ktaqmkuk 🇨🇦🏴‍☠️ (NL),,5/12/2011 21:22,120,0,1560,FALSE,"""“the NYC Department of Health and Mental Hygiene tweeted on Friday.”XBB.1.5 is the most transmissible form of COVI… https://t.co/SvbIR0OF8B",1/15/2023 16:37,,Twitter for Android,FALSE
Worker,,For living  #followback,5/12/2022 7:29,133,276,507,FALSE,"New, more transmissible COVID-19 subvariant XBB.1.5 on the rise https://t.co/x3UU3sqdDs via @YouTube",1/15/2023 16:12,,Twitter Web App,FALSE
kevm@toot.community (Kevin Miller),"Wisconsin, USA",Remote self-employed software creator. Dad. Mobile. Podcasts. Nintendo. Minecraft participant. Learning web dev anew with @sveltejs,6/21/2007 19:27,533,178,4888,FALSE,Your protection against an XBB.1.5. infection is not that great” if you had a COVID-19 infection before July 2022 o… https://t.co/VySapSiV0b,1/15/2023 15:38,,Twitter for iPhone,FALSE
Cole,,"Don't build a wall, I may wish to leave. Just a regular guy.",6/2/2022 7:05,2415,2309,9984,FALSE,New York City health officials are warning residents that the infectious omicron subvariant XBB.1.5 may be more lik… https://t.co/n1asDaO4PV,1/15/2023 15:24,,Twitter for Android,FALSE
Daily Voice Suffolk County,,,4/22/2019 15:45,397,5,1,FALSE,"* COVID-19 * XBB.1.5, the Omicron strain nicknamed the ""Kraken"" subvariant, is gaining more ground nationally, the… https://t.co/x6TvJgoDs8",1/15/2023 15:23,,Daily Voice Suffolk County,FALSE
DV Putnam County,"Putnam County, NY","Daily Voice Putnam County covers our friends and neighbors in #Brewster, #CarmelKent, #ColdSpring, #Mahopac, #Patterson and #PutnamValley.",6/22/2014 21:38,1609,84,11,FALSE,"* COVID-19 * XBB.1.5, the Omicron strain nicknamed the ""Kraken"" subvariant, is gaining more ground nationally, the… https://t.co/JO1dj1JGYc",1/15/2023 15:23,,SPTK: PutnamDV,FALSE
DV Orange County,,,6/27/2017 15:42,147,25,0,FALSE,"* COVID-19 * XBB.1.5, the Omicron strain nicknamed the ""Kraken"" subvariant, is gaining more ground nationally, the… https://t.co/j6orWzz89m",1/15/2023 15:23,,SPTK: DVOrangeCounty,FALSE
Daily Voice Nassau County,,,4/22/2019 15:06,329,9,1,FALSE,"* COVID-19 * XBB.1.5, the Omicron strain nicknamed the ""Kraken"" subvariant, is gaining more ground nationally, the… https://t.co/wSSsFiEylD",1/15/2023 15:23,,William Travis Hardman,FALSE
Bill Vigus,Husband/Father; Reformed Bap,Jewish believer in Jesus. Pro civil dialogue (profanity will result in blocking). I'm open to being wrong you should be too. Biologist. Libertarian/Conservative,11/22/2022 3:15,35,448,3986,FALSE,"@RWMaloneMD To be fair: ""the infectious omicron subvariant XBB.1.5 MAY be more likely to infect people who have alr… https://t.co/8YT0g4AFUI",1/15/2023 15:19,,Twitter for Android,FALSE
Joe Lombardi,,"Multimedia, news and sports manager, producer, director and editor",7/26/2008 20:23,9273,463,1,TRUE,"* COVID-19 * XBB.1.5, the Omicron strain nicknamed the ""Kraken"" subvariant, is gaining more ground nationally, the… https://t.co/Fcaf5gKt8C",1/15/2023 15:16,,Twitter Web App,FALSE
Red Lights For Firefighters LLC,"Watertown, NY","Place a red light outside of your home or business to support the firefighters everywhere. We support 1st responders in Fire, EMS and Dispatch. Ind Media.",9/26/2017 22:04,405,646,5187,FALSE,"A new Covid-19 omicron subvariant, XBB.1.5, is sweeping the country. https://t.co/Vi7xx3L1lt",1/15/2023 15:05,,Hootsuite Inc.,FALSE
Baha-ma 🏝🌙⭐️,Bahamas,Pro life mom 🐬✝️. Independent Voter. I identify as a conspiracy theorist- pronouns:              I/told/you/so,7/12/2010 19:12,2891,3620,135940,FALSE,"So…the more infectious subvariant of #Covid_19 is more likely to infect those who are vaccinated, but they still sa… https://t.co/3yrjtA9nOD",1/15/2023 13:39,['Covid_19'],Twitter for iPhone,FALSE
COVID-19 Global Cases,,Coronavirus COVID-19 Global Cases - Live Updates,3/12/2020 21:30,97,191,0,FALSE,"XBB.1.5 COVID-19 subvariant thought to be a ""extremely variation"" https://t.co/7gKvKLyl6K https://t.co/u34QP1uOJu",1/15/2023 13:36,,COVID-19 Global Cases,FALSE
jackielantern🇺🇸,,"Believer, southern girl, mom, wife, Auburn grad, resister of tyranny. War Damn Eagle FOEVA.",12/10/2019 15:15,436,1036,10686,FALSE,@RWMaloneMD @SteveDeaceShow “The infectious omicron subvariant XBB.1.5 may be more likely to infect people who have… https://t.co/hqndUdERzG,1/15/2023 13:36,,Twitter for iPhone,FALSE
Philip,,,11/12/2022 18:32,109,82,16,FALSE,@FoxNews The American people deserve answers about the origins of COVID-19 and it's subvariant XBB.1.5! Is this the… https://t.co/iLJ1YiWbY8,1/15/2023 13:05,,Twitter for Android,FALSE
VERIFY,,VERIFY is dedicated to fighting the spread of misinformation & helping you determine what's true and what's false. Part of @TEGNA.,11/16/2020 19:42,13641,152,315,TRUE,"Here are 4 Fast Facts about the new COVID-19 subvariant of omicron, XBB.1.5: https://t.co/nOxAISRwPO https://t.co/tu9ZbiFC0x",1/15/2023 13:00,,SocialNewsDesk,FALSE
william Byrne,Miami,"Proud, American, Marine, white, Male!",11/24/2019 14:08,61,333,2829,FALSE,New York City health officials are warning residents that the infectious omicron subvariant XBB.1.5 may be more lik… https://t.co/poZMGS8VXD,1/15/2023 12:58,,Twitter Web App,FALSE
Thaddeaus,,Blue collar Red blooded American,5/15/2022 2:54,19,139,958,FALSE,"@RWMaloneMD Catchy headline. Should have read the entire thing called click bait

residents that the infectious omi… https://t.co/HGVekm3K98",1/15/2023 12:06,,Twitter for iPhone,FALSE
"Yoshiko Otsuka Fine Art International, Tokyo","Tokyo, Japan","We represent Japanese chef-turned self-taught artist, HIROYUKI DOI who creates circle drawings.欧米で高く評価されているHIROYUKI DOI (土井宏之）作品を取り扱い、展覧会企画運営, Workshop等行っています。",12/7/2021 7:36,379,1388,23524,FALSE,"@nycHealthy・Jan 13
Omicron subvariant XBB.1.5 now accounts for 73% of all sequenced COVID-19 cases in NYC. XBB.1.5… https://t.co/vdLD6qw6V4",1/15/2023 11:27,,Twitter Web App,FALSE
